year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,,,,,,,,,,,,,PC_coal_1,PC_coal_2,PC_oil_1,PC_oil_2,PC_cement_1,PC_cement_2,PC_gas_1,PC_gas_2,PC_landuse_1,PC_landuse_2,PC_flaring_1,PC_flaring_2,PC_growth_1,PC_growth_2,PC_energy_1,PC_ghg_1,PC_ghg_2,PC_methane_1,PC_no_1
1949,AFG,7356890,,0,0,0.015,,,6.25,,,0.85,,,0.002,,,0.015,0.002,,,,0,0.015,6.25,0.015,,0,519.503,0,,,,,,0,0,0.176,2.486,6.235,0.848,7.899,1.074,2.17,0.295,0,0,,,,0,0,0.059,0,0,0,0.001,0,,0,0.125,0,,,0,0.114,0,,0.128,0,0,0.001,0,18.288,1.297,,,,,,,,,,,,,,,-2.043003386,0.238700906,-2.619552865,0.061447542,-2.413349161,1.922142804,-2.352026971,0.989621744,1.882577762,-1.108471847,-3.31E-16,5.16E-16,3.36E-16,-5.37E-17,-5.44E-16,-2.176309122,0.456465923,-1.720207888,-2.619552865
1950,AFG,7776182,9421400064,0,0,0.084,0.07,475,7.316,1.066,17.059,0.941,0.777,,0.011,0.009,,0.021,0.003,,,,0,0.099,13.566,0.036,,0,526.735,0.063,,,,,,0,0,0.187,2.501,7.232,0.93,8.101,1.042,2.238,0.288,0.063,0.008,,,,0,0.001,0.06,0.001,0,0,0.002,0,,0,0.125,0,,,0,0.117,0.004,,0.128,0,0,0.001,0,19.447,1.453,,,,,,,,,,,,,,,-1.970330704,0.296718952,-2.448206042,0.206142476,-2.413349161,1.922142804,-2.352026971,0.989621744,2.033697728,-1.009015298,-1.50E-15,1.11E-15,4.190721975,-0.878602716,1.53E-16,-2.039846657,0.569678133,-1.580914308,-2.448206042
1951,AFG,7879343,9692279808,0,0,0.092,0.007,8.696,8.264,0.948,12.956,1.049,0.853,,0.012,0.009,,0.026,0.003,,,,0,0.191,21.83,0.061,,0,534.907,0.129,,,,,,0,0,0.187,2.596,8.172,1.037,8.233,1.045,2.3,0.292,0.066,0.008,,,,0,0.001,0.064,0.001,0,0,0.003,0,,0,0.125,0,,,0,0.125,0.004,,0.128,0,0,0.001,0,20.458,1.473,,,,,,,,,,,,,,,-1.967750146,0.296656892,-2.446809828,0.205402956,-2.413349161,1.922142804,-2.352026971,0.989621744,2.219292285,-0.884559498,-6.01E-16,2.09E-15,0.004300501,-0.066387891,1.71E-16,-2.017324409,0.755819426,-1.563101196,-2.446809828
1952,AFG,7987783,10017325056,0,0,0.092,0,0,9.192,0.928,11.232,1.151,0.918,,0.011,0.009,,0.032,0.004,,,,0,0.282,31.022,0.093,,0,544.008,0.189,,,,,,0,0,0.186,2.674,9.101,1.139,8.373,1.048,2.373,0.297,0.06,0.007,,,,0,0.001,0.071,0.001,0,0,0.005,0,,0,0.125,0.001,,,0,0.14,0.003,,0.128,0,0,0.001,0,21.356,1.484,,,,,,,,,,,,,,,-1.951478773,0.311406675,-2.400630672,0.087798719,-2.413349161,1.922142804,-2.352026971,0.989621744,2.423554865,-0.716486355,-7.44E-17,5.81E-16,-0.085548142,-0.060775949,1.71E-16,-1.999676805,0.915243587,-1.543651811,-2.400630672
1953,AFG,8096703,10630519808,0,0,0.106,0.015,16,10.269,1.077,11.711,1.268,0.966,,0.013,0.01,,0.038,0.005,,,,0,0.388,41.291,0.131,,0,554.17,0.257,,,,,,0,0,0.187,2.762,10.162,1.255,8.528,1.053,2.455,0.303,0.068,0.008,,,,0,0.002,0.078,0.001,0,0,0.006,0,,0,0.125,0.001,,,0,0.154,0.004,,0.128,0,0,0.001,0,22.361,1.517,,,,,,,,,,,,,,,-1.935030184,0.325957908,-2.365848379,0.112813734,-2.413349161,1.922142804,-2.352026971,0.989621744,2.64451136,-0.543086747,-7.20E-17,1.18E-15,0.114798119,-0.091197503,1.71E-16,-1.968106027,1.093298034,-1.527258016,-2.365848379
1954,AFG,8207953,10866360320,0,0,0.106,0,0,11.137,0.869,8.459,1.357,1.025,,0.013,0.01,,0.043,0.005,,,,0,0.495,52.428,0.174,,0,565.201,0.321,,,,,,0,0,0.187,2.833,11.031,1.344,8.691,1.059,2.541,0.31,0.064,0.008,,,,0,0.002,0.081,0.001,0,0,0.007,0,,0,0.126,0.001,,,0,0.158,0.003,,0.128,0,0,0.001,0,23.256,1.534,,,,,,,,,,,,,,,-1.931917976,0.325300199,-2.391134546,0.096091514,-2.413349161,1.922142804,-2.352026971,0.989621744,2.801891402,-0.482723093,-3.50E-17,5.65E-16,-0.104932078,-0.075653472,1.71E-16,-1.942038585,1.244863355,-1.512289749,-2.391134546
1955,AFG,8326981,11078185984,0,0,0.154,0.048,44.828,12.247,1.11,9.967,1.471,1.106,,0.018,0.014,,0.062,0.007,,,,0,0.649,64.675,0.236,,0,577.294,0.413,,,,,,0,0,0.196,2.933,12.093,1.452,8.897,1.068,2.627,0.316,0.092,0.011,,,,0,0.002,0.084,0.001,0,0,0.009,0,,0,0.127,0.001,,,0,0.17,0.004,,0.128,0,0,0.001,0,24.423,1.633,,,,,,,,,,,,,,,-1.896855283,0.355937272,-2.337796657,0.141895513,-2.413349161,1.922142804,-2.352026971,0.989621744,3.023973551,-0.36353005,-3.50E-17,5.65E-16,0.408177639,-0.153834775,1.71E-16,-1.861241916,1.445338061,-1.497711916,-2.337796657
1956,AFG,8454302,11581236224,0,0,0.183,0.029,19.048,13.193,0.945,7.718,1.56,1.139,,0.022,0.016,,0.062,0.007,,,,0,0.832,77.868,0.298,,0,590.304,0.534,,,,,,0,0,0.203,3.016,13.009,1.539,9.11,1.078,2.711,0.321,0.121,0.014,,,,0,0.002,0.087,0.001,0,0,0.011,0,,0,0.128,0.001,,,0,0.18,0.005,,0.128,0,0,0.001,0,25.502,1.712,,,,,,,,,,,,,,,-1.895024047,0.353885591,-2.28390973,0.18735354,-2.413349161,1.922142804,-2.352026971,0.989621744,3.199152937,-0.257183429,-3.50E-17,5.65E-16,0.112531483,-0.11621526,1.71E-16,-1.789588218,1.621827654,-1.484764146,-2.28390973
1957,AFG,8588340,11578973184,0,0,0.293,0.11,60,14.253,1.06,8.038,1.66,1.231,,0.034,0.025,,0.077,0.009,,,,0,1.125,92.121,0.375,,0,604.264,0.75,,,,,,0,0,0.228,3.114,13.96,1.625,9.416,1.096,2.787,0.324,0.216,0.025,,,,0,0.004,0.092,0.002,0,0,0.012,0,,0,0.128,0.002,,,0,0.191,0.008,,0.128,0,0,0.001,0,26.746,1.956,,,,,,,,,,,,,,,-1.804265833,0.42631836,-2.029140045,0.255250593,-2.413349161,1.922142804,-2.352026971,0.989621744,3.349771353,-0.085366519,-3.50E-17,5.65E-16,0.583917925,-0.18979178,1.71E-16,-1.612418075,1.818952791,-1.47728911,-2.029140045
1958,AFG,8723412,12238841856,0,0,0.33,0.037,12.5,15.313,1.061,7.441,1.755,1.251,,0.038,0.027,,0.092,0.011,,,,0,1.455,107.434,0.467,,0,619.247,0.988,,,,,,0,0,0.234,3.212,14.984,1.718,9.649,1.106,2.852,0.327,0.238,0.027,,,,0,0.004,0.098,0.002,0,0.001,0.014,0,,0,0.13,0.002,,,0,0.208,0.009,,0.128,0,0,0.001,0,28.019,2.044,,,,,,,,,,,,,,,-1.769790784,0.455350498,-1.982382014,0.288679425,-2.413349161,1.922142804,-2.352026971,0.989621744,3.586894897,0.021943003,-3.50E-17,5.65E-16,0.098069026,-0.109915228,1.71E-16,-1.538893861,2.028496317,-1.460250655,-1.982382014
1959,AFG,8869271,12579874816,0.018,0.002,0.385,0.055,16.621,16.017,0.704,4.597,1.806,1.273,,0.043,0.031,,0.11,0.012,,,,0.018,1.839,123.452,0.577,,0,634.88,1.244,,,,,,0,0,0.242,3.276,15.633,1.763,9.89,1.115,2.902,0.327,0.256,0.029,,,,0.013,0.004,0.096,0.002,0.001,0.001,0.016,0,,0,0.131,0.003,,,0,0.202,0.009,,0.128,0,0,0.001,0,29.052,2.149,,,,,,,,,,,,,,,-1.746794422,0.469355689,-1.882432679,0.215137032,-0.679084083,2.168169058,-2.352026971,0.989621744,3.61697151,0.040478381,-3.50E-17,5.65E-16,0.040752841,-0.12223471,1.71E-16,-1.453554589,2.18129907,-1.438514125,-1.882432679
1960,AFG,9035048,13033253888,0.018,0.002,0.414,0.029,7.623,17.857,1.84,11.488,1.976,1.37,,0.046,0.032,,0.127,0.014,,,,0.036,2.253,141.309,0.704,,0,652.324,1.513,,,,,,0,0,0.246,3.187,17.444,1.931,10.137,1.122,2.934,0.325,0.269,0.03,,,,0.011,0.004,0.111,0.002,0.002,0.001,0.018,0,,0,0.133,0.003,,,0,0.26,0.009,,0.128,0,0,0.001,0,28.796,2.225,,,,,,,,,,,,,,,-1.710548747,0.497535713,-1.869476705,0.222078033,-0.714277771,1.997504728,-2.352026971,0.989621744,4.159555479,0.426442759,-3.50E-17,5.65E-16,0.287909981,-0.102895246,1.71E-16,-1.400581416,2.066855891,-1.409426785,-1.869476705
1961,AFG,9214082,13146287104,0.022,0.002,0.491,0.077,18.583,15.287,-2.571,-14.396,1.659,1.163,,0.053,0.037,,0.176,0.019,,,,0.058,2.744,156.596,0.88,,0,667.12,1.806,,,,,,0,0,0.257,2.844,14.796,1.606,9.611,1.043,2.927,0.318,0.293,0.032,,,,0.013,0.005,0.094,0.004,0.003,0.001,0.019,0,,0,0.134,0.003,,,0,0.217,0.009,,0.128,0,0,0.001,0,26.207,2.37,,,,,,,,,,,,,,,-1.5082667,0.659471551,-1.846897003,0.239309113,-0.433376023,1.915449794,-2.352026971,0.989621744,3.369707686,0.085554805,-3.50E-17,5.65E-16,-0.931940854,-0.130831245,1.71E-16,-1.337439719,1.484493944,-1.275129427,-1.846897003
1962,AFG,9404411,13367633920,0.029,0.003,0.689,0.198,40.301,14.062,-1.225,-8.015,1.495,1.052,,0.073,0.052,,0.297,0.032,,,,0.087,3.432,170.657,1.176,,0,680.493,2.169,,,,,,0,0,0.289,2.73,13.373,1.422,9.902,1.053,2.901,0.308,0.363,0.039,,,,0.016,0.007,0.087,0.006,0.004,0.001,0.021,0,,0,0.135,0.004,,,0,0.211,0.01,,0.127,0,0,0.001,0,25.671,2.722,,,,,,,,,,,,,,,-1.170988222,0.947579224,-1.674351464,0.232751977,0.227945088,1.881151542,-2.352026971,0.989621744,2.992941438,0.000102693,-3.50E-17,5.65E-16,-0.211748716,-0.173663387,1.71E-16,-1.129760934,1.305624797,-1.246227987,-1.674351464
1963,AFG,9604491,13630298112,0.051,0.005,0.707,0.018,2.635,13.5,-0.562,-3.997,1.406,0.99,,0.074,0.052,,0.264,0.027,,,,0.138,4.139,184.157,1.44,,0,693.286,2.561,,,,,,0,0,0.29,2.681,12.793,1.332,10.253,1.067,2.952,0.307,0.392,0.041,,,,0.027,0.007,0.082,0.005,0.005,0.001,0.022,0.001,,0,0.136,0.004,,,0,0.208,0.01,,0.127,0,0,0.001,0,25.747,2.79,,,,,,,,,,,,,,,-1.066985712,0.499667624,-1.64957616,0.248906826,1.93027114,2.007075437,-2.352026971,0.989621744,2.802325261,-0.033244084,-3.50E-17,5.65E-16,-0.508395123,-0.107695315,1.71E-16,-1.089044773,1.262797603,-1.217301702,-1.64957616
1964,AFG,9814318,13870503936,0.062,0.006,0.839,0.132,18.651,10.881,-2.618,-19.394,1.109,0.785,,0.085,0.06,,0.3,0.031,,,,0.2,4.978,195.038,1.741,,0,703.328,3.037,,,,,,0,0,0.312,2.509,10.043,1.023,10.526,1.073,3.015,0.307,0.476,0.049,,,,0.03,0.008,0.065,0.006,0.007,0.001,0.023,0.001,,0,0.136,0.005,,,0,0.171,0.012,,0.127,0,0,0.001,0,24.625,3.065,,,,,,,,,,,,,,,-0.9356431,0.597682713,-1.440495328,0.267121872,2.756335867,1.819856313,-2.352026971,0.989621744,2.039741106,-0.317979971,-3.50E-17,5.65E-16,-0.895848423,-0.158657928,1.71E-16,-0.946602093,0.978343922,-1.17983467,-1.440495328
1965,AFG,10036003,14187419648,0.084,0.008,1.007,0.168,20.078,11.389,0.507,4.661,1.135,0.803,,0.1,0.071,,0.381,0.038,,,,0.283,5.985,206.427,2.122,,0,713.71,3.58,,,,,,0,0,0.336,2.528,10.382,1.034,10.853,1.081,3.087,0.308,0.542,0.054,,,,0.039,0.009,0.067,0.007,0.01,0.002,0.024,0.001,,0,0.137,0.005,,,0,0.185,0.012,,0.126,0,0,0.001,0,25.37,3.372,,,,,,,,,,,,,,,-0.746011299,0.744608866,-1.385094747,0.313288813,4.503662789,1.66851688,-2.352026971,0.989621744,2.116408036,-0.225481716,-3.50E-17,5.65E-16,0.118263853,-0.119154806,1.71E-16,-0.761350296,1.052180027,-1.137446394,-1.385094747
1966,AFG,10266397,14325264384,0.087,0.008,1.091,0.084,8.366,10.25,-1.138,-9.996,0.998,0.716,,0.106,0.076,,0.429,0.042,,,,0.371,7.076,216.677,2.55,,0,722.869,4.155,,,,,,0,0,0.345,2.448,9.159,0.892,11.273,1.098,3.165,0.308,0.575,0.056,,,,0.037,0.009,0.06,0.008,0.012,0.002,0.024,0.001,,0,0.137,0.006,,,0,0.175,0.012,,0.126,0,0,0.001,0,25.136,3.544,,,,,,,,,,,,,,,-0.60649643,0.840257874,-1.278295762,0.236205124,4.607483633,1.315951385,-2.352026971,0.989621744,1.776614658,-0.293610855,-3.50E-17,5.65E-16,-0.574468375,-0.133762968,1.71E-16,-0.677003958,0.946502362,-1.103592653,-1.278295762
1967,AFG,10505961,14734025728,0.065,0.006,1.282,0.191,17.477,8.687,-1.563,-15.251,0.827,0.59,,0.122,0.087,,0.399,0.038,,,,0.436,8.358,225.364,2.95,,0.26,730.274,4.712,,,,,,0.26,0.025,0.386,2.341,7.405,0.705,11.616,1.106,3.248,0.309,0.557,0.053,,,,0.027,0.01,0.049,0.008,0.013,0.002,0.025,0.001,,0.001,0.137,0.006,,,0.018,0.137,0.011,,0.125,0,0,0.001,0,24.593,4.055,,,,,,,,,,,,,,,-0.658197468,0.762868083,-1.321854152,0.18184028,3.113342286,0.921425791,-0.02671592,1.963816003,1.235126448,-0.552929597,-3.50E-17,5.65E-16,-0.525389022,-0.165603626,1.71E-16,-0.413118007,0.769895052,-1.05793183,-1.321854152
1968,AFG,10756924,15254250496,0.047,0.004,1.223,-0.058,-4.562,8.133,-0.554,-6.375,0.756,0.533,,0.114,0.08,,0.332,0.031,,,,0.483,9.581,233.497,3.282,,0.607,737.184,5.209,,,,,,0.347,0.032,0.376,2.277,6.91,0.642,11.906,1.107,3.393,0.315,0.497,0.046,,,,0.018,0.009,0.045,0.006,0.013,0.002,0.025,0.001,,0.003,0.137,0.006,,,0.022,0.13,0.009,,0.125,0,0,0.001,0,24.491,4.049,,,,,,,,,,,,,,,-0.878338221,0.551585989,-1.428312786,0.070387348,1.683559221,0.639611806,0.753659544,2.005307476,1.064313144,-0.581477486,-3.50E-17,5.65E-16,-0.6424464,-0.111064183,1.71E-16,-0.435944287,0.701840374,-1.001678706,-1.428312786
1969,AFG,11017417,15493193728,0.051,0.005,0.941,-0.282,-23.064,7.225,-0.908,-11.166,0.656,0.466,,0.085,0.061,,0.363,0.033,,,,0.534,10.522,240.722,3.645,,0.607,743.468,5.736,,,,,,0,0,0.31,2.106,6.284,0.57,11.486,1.042,3.382,0.307,0.528,0.048,,,,0.019,0.007,0.037,0.007,0.013,0.003,0.025,0.001,,0.003,0.137,0.006,,,0,0.108,0.009,,0.124,0,0,0.001,0,23.202,3.417,,,,,,,,,,,,,,,-0.773237791,0.617003291,-1.401519455,0.084756139,2.080798988,0.637656048,-2.075744053,0.639668998,0.813095417,-0.703789436,-3.50E-17,5.65E-16,-1.128191336,-0.099685311,1.71E-16,-0.815127805,0.447985488,-0.888565948,-1.401519455
1970,AFG,11290135,15812232192,0.047,0.004,1.67,0.729,77.469,8.153,0.928,12.85,0.722,0.516,,0.148,0.106,,0.437,0.039,,,,0.581,12.193,248.876,4.082,0.297,0.824,749.951,6.408,,,,0.297,0.026,0.217,0.019,0.377,2.136,6.483,0.574,11.689,1.035,3.402,0.301,0.672,0.06,,,,0.016,0.011,0.04,0.008,0.014,0.003,0.026,0.001,0.012,0.003,0.136,0.006,,0.107,0.012,0.114,0.01,,0.123,0,0,0.001,0,24.12,4.255,,,,,,,,,,,,,,,-0.597646621,0.746114551,-1.253775603,0.219122324,1.639566837,0.391226259,-0.426577676,1.388119384,0.802645169,-0.575396351,3.676153503,3.583856819,1.287474066,-0.17496561,1.71E-16,-0.364228204,0.52711041,-0.825612886,-1.253775603
1971,AFG,11567672,15770513408,0.043,0.004,1.894,0.223,13.36,7.621,-0.533,-6.532,0.659,0.483,,0.164,0.12,,0.359,0.031,,,,0.625,14.086,256.497,4.441,0.602,1.264,755.678,7.156,,,,0.304,0.026,0.44,0.038,0.392,2.041,5.727,0.495,11.669,1.009,3.367,0.291,0.747,0.065,,,,0.014,0.012,0.037,0.006,0.014,0.003,0.026,0.001,0.021,0.005,0.136,0.007,,0.095,0.023,0.112,0.01,,0.122,0,0,0.001,0,23.612,4.532,,,,,,,,,,,,,,,-0.834158276,0.517365036,-1.115075693,0.172068611,1.433140494,0.316163404,1.358732669,1.883699674,0.618008958,-0.595102366,3.527181198,2.898403168,-0.211836422,-0.139165283,1.71E-16,-0.250577376,0.379067536,-0.750096717,-1.115075693
1972,AFG,11853697,13170552832,0.046,0.004,1.53,-0.363,-19.181,6.73,-0.891,-11.687,0.568,0.511,,0.129,0.116,,0.191,0.016,,,,0.671,15.617,263.227,4.631,0.968,1.564,760.878,7.782,,,,0.366,0.031,0.3,0.025,0.363,1.729,5.2,0.439,10.276,0.867,2.629,0.222,0.627,0.053,,,,0.014,0.009,0.031,0.003,0.014,0.003,0.026,0.002,0.03,0.006,0.136,0.007,,0.106,0.015,0.096,0.008,,0.121,0,0,0.001,0,20.493,4.301,,,,,,,,,,,,,,,-1.026688386,-0.183471913,-1.267690861,0.00529669,1.493060305,0.25057639,0.359677012,1.239517839,0.42182847,-0.68505517,4.101423792,2.065866202,-1.16619912,-0.111994944,1.71E-16,-0.464058175,-0.198879665,-0.600237006,-1.267690861
1973,AFG,12158000,13568630784,0.067,0.006,1.635,0.105,6.868,6.039,-0.691,-10.267,0.497,0.445,,0.135,0.121,,0.311,0.026,,,,0.738,17.252,269.266,4.942,1.191,1.897,765.282,8.484,,,,0.223,0.018,0.333,0.027,0.364,1.7,4.404,0.362,10.641,0.875,2.911,0.239,0.702,0.058,,,,0.02,0.01,0.027,0.005,0.014,0.004,0.026,0.002,0.033,0.006,0.135,0.007,,0.055,0.015,0.084,0.009,,0.119,0,0,0.001,0,20.668,4.424,,,,,,,,,,,,,,,-0.728682189,0.059315026,-1.183327028,0.06534767,2.802861823,0.31047142,0.491361367,1.238103986,0.173772979,-0.716561103,2.205232295,2.077563981,-0.431058153,-0.147314483,1.71E-16,-0.419979064,-0.212388071,-0.550076429,-1.183327028
1974,AFG,12469127,14309107712,0.07,0.006,1.913,0.278,16.98,5.88,-0.159,-2.633,0.472,0.411,,0.153,0.134,,0.305,0.024,,,,0.808,19.165,275.146,5.247,1.558,2.297,769.249,9.255,,,,0.367,0.029,0.4,0.032,0.385,1.706,3.967,0.318,11.243,0.902,3.167,0.254,0.771,0.062,,,,0.021,0.011,0.027,0.005,0.015,0.004,0.026,0.002,0.039,0.007,0.135,0.007,,0.094,0.018,0.077,0.01,,0.118,0,0,0.001,0,21.277,4.804,,,,,,,,,,,,,,,-0.748115539,0.018522926,-1.106463006,0.114117597,2.999350511,0.158659891,1.034253439,1.299618663,0.041138666,-0.757961178,3.731486141,1.304729323,-0.011543989,-0.133392784,1.71E-16,-0.242528914,-0.161693835,-0.509615479,-1.106463006
1975,AFG,12773967,15177767936,0.069,0.005,2.121,0.208,10.884,5.732,-0.148,-2.524,0.449,0.378,,0.166,0.14,,0.399,0.031,,,,0.878,21.287,280.878,5.646,1.862,2.772,772.859,10.129,,,,0.304,0.024,0.475,0.037,0.397,1.715,3.61,0.283,11.848,0.927,3.433,0.269,0.874,0.068,,,,0.02,0.012,0.026,0.007,0.015,0.004,0.026,0.002,0.043,0.008,0.134,0.007,,0.09,0.021,0.071,0.011,,0.117,0,0,0.001,0,21.901,5.076,,,,,,,,,,,,,,,-0.496436276,0.209747286,-1.007263686,0.18347934,2.653781778,0.022164994,1.597129056,1.355014051,-0.095757931,-0.738643081,3.071798006,0.963512804,-0.128119568,-0.123592997,1.71E-16,-0.11952143,-0.102171401,-0.462417323,-1.007263686
1976,AFG,13059861,16023605248,0.079,0.006,1.981,-0.141,-6.624,5.286,-0.446,-7.786,0.405,0.33,,0.152,0.124,,0.425,0.033,,,,0.957,23.267,286.164,6.071,2.155,3.073,776.164,11.012,,,,0.293,0.022,0.3,0.023,0.371,1.656,3.305,0.253,11.925,0.913,3.532,0.27,0.883,0.068,,,,0.022,0.011,0.023,0.007,0.015,0.004,0.026,0.002,0.045,0.008,0.134,0.008,,0.074,0.013,0.065,0.01,,0.116,0,0,0.001,0,21.624,4.841,,,,,,,,,,,,,,,-0.448072972,0.22944342,-0.941104552,0.06507636,3.235374279,-0.018698184,0.406924374,0.785945701,-0.194917888,-0.771428842,2.67024709,0.818426431,-0.707078065,-0.121240647,1.71E-16,-0.256332992,-0.173069071,-0.403802959,-0.941104552
1977,AFG,13340758,15207360512,0.065,0.005,2.384,0.403,20.361,5.391,0.106,2.001,0.404,0.355,,0.179,0.157,,0.451,0.034,,,,1.022,25.652,291.555,6.521,2.536,3.586,779.171,11.987,,,,0.381,0.029,0.513,0.038,0.396,1.613,3.007,0.225,11.751,0.881,3.467,0.26,0.975,0.073,,,,0.017,0.013,0.022,0.007,0.015,0.005,0.026,0.002,0.049,0.009,0.133,0.008,,0.1,0.021,0.055,0.011,,0.115,0,0,0.001,0,21.517,5.287,,,,,,,,,,,,,,,-0.412086897,0.233421826,-0.85003553,0.122371866,2.37888291,-0.180139018,1.814600285,1.195922849,-0.333098073,-0.774728136,3.592233628,0.265887619,0.220214925,-0.117662693,1.71E-16,-0.075729346,-0.237563767,-0.341414249,-0.85003553
1978,AFG,13611445,16337829888,0.058,0.004,2.153,-0.231,-9.684,4.786,-0.606,-11.236,0.352,0.293,,0.158,0.132,,0.576,0.042,,,,1.079,27.805,296.34,7.098,2.818,3.887,781.803,12.923,,,,0.283,0.021,0.301,0.022,0.372,1.534,2.632,0.193,11.749,0.863,3.413,0.251,0.936,0.069,,,,0.014,0.011,0.02,0.009,0.015,0.005,0.026,0.002,0.051,0.009,0.132,0.008,,0.072,0.012,0.049,0.01,,0.113,0,0,0.001,0,20.887,5.062,,,,,,,,,,,,,,,-0.130613211,0.438390747,-0.900428439,0.051329631,1.789837532,-0.322388859,0.434245391,0.553191405,-0.464058194,-0.761487988,2.371438059,0.20489457,-0.870065162,-0.13317071,1.71E-16,-0.215477187,-0.361200702,-0.286710881,-0.900428439
1979,AFG,13655572,15913788416,0.064,0.005,2.233,0.079,3.69,4.99,0.204,4.263,0.365,0.314,,0.164,0.14,,0.352,0.026,,,,1.143,30.038,301.33,7.449,3.086,4.271,784.56,14.088,,,,0.267,0.02,0.385,0.028,0.375,1.506,2.757,0.202,11.528,0.844,3.315,0.243,1.165,0.085,,,,0.016,0.011,0.021,0.005,0.015,0.005,0.026,0.002,0.053,0.01,0.131,0.008,,0.074,0.014,0.059,0.013,,0.112,0,0,0.001,0,20.564,5.115,,,,,,,,,,,,,,,-0.639529591,-0.017370798,-0.650660419,0.255021918,2.28644104,-0.320816222,0.982410159,0.593371868,-0.441934773,-0.633168788,2.193670304,-0.023354205,-0.202891597,-0.083859474,1.71E-16,-0.203044364,-0.419653915,-0.273738706,-0.650660419
1980,AFG,13169312,15329836032,0.023,0.002,1.756,-0.476,-21.339,4.338,-0.652,-13.06,0.329,0.283,0.557,0.133,0.115,0.225,0.316,0.024,,,,1.166,31.794,305.668,7.765,3.391,4.459,787.142,15.013,,623.929,0.508,0.305,0.023,0.187,0.014,0.365,1.524,2.582,0.196,11.657,0.885,3.351,0.254,0.925,0.07,,,7.791,0.006,0.009,0.018,0.005,0.015,0.005,0.025,0.002,0.055,0.009,0.131,0.008,,0.096,0.007,0.052,0.01,,0.111,0,0,0.001,0,20.068,4.804,,,,,,,,,,,,,,,-0.669690985,-0.063118294,-0.870577635,0.030809205,0.044914595,-0.494555701,-0.292705042,0.166566807,-0.506284632,-0.670493867,2.658725582,-0.37459188,-1.220107485,-0.126767244,-0.737723778,-0.326000734,-0.441869241,-0.372887674,-0.870577635
1981,AFG,11937587,15645343744,0.033,0.003,1.978,0.222,12.649,4.675,0.337,7.764,0.392,0.299,0.533,0.166,0.126,0.225,0.333,0.028,,,,1.199,33.772,310.343,8.098,3.684,4.763,789.838,16.028,,786.837,0.561,0.293,0.025,0.304,0.025,0.416,1.688,2.696,0.226,11.608,0.972,3.321,0.278,1.015,0.085,,,8.777,0.008,0.01,0.02,0.005,0.015,0.005,0.025,0.002,0.057,0.009,0.13,0.008,,0.124,0.011,0.056,0.012,,0.11,0,0,0.001,0,20.145,4.972,,,,,,,,,,,,,,,-0.601129621,-0.011974271,-0.683107085,0.201992869,0.631566346,-0.490729179,0.477718183,0.462626279,-0.489815258,-0.580006028,2.916348543,-0.74515154,0.053966913,-0.080207464,-0.41886462,-0.145027271,-0.297373502,-0.64928663,-0.683107085
1982,AFG,10991382,15980409856,0.039,0.004,2.095,0.116,5.869,4.264,-0.411,-8.784,0.388,0.267,0.456,0.191,0.131,0.224,0.385,0.035,,,,1.238,35.867,314.607,8.483,3.966,5.158,792.008,17.021,,926.651,0.585,0.282,0.026,0.396,0.036,0.457,1.804,2.17,0.197,11.494,1.046,3.368,0.306,0.993,0.09,,,9.348,0.01,0.011,0.018,0.005,0.014,0.006,0.025,0.002,0.059,0.01,0.13,0.009,,0.12,0.014,0.048,0.012,,0.109,0,0,0.001,0,19.83,5.02,,,,,,,,,,,,,,,-0.478790392,0.087476919,-0.561128465,0.145046429,1.049185117,-0.371870876,1.223391859,0.608708883,-0.612038912,-0.643108499,2.799654881,-0.95334491,-0.343007894,-0.145690036,-0.185022362,-0.026567237,-0.231310515,-0.899176883,-0.561128465
